rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,time,gap
1,1,Ricardo Batista,ELITE,Clube de Natação de Torres Novas,00:09:20,00:01:25,00:28:48,00:00:21,00:15:20,00:55:14,00:00:00
2,12,Christophe De Keyser,ELITE,Outsystems Olímpico de Oeiras,00:09:23,00:01:21,00:28:50,00:00:24,00:15:50,00:55:48,00:00:34
3,2,Miguel Tiago Silva,ELITE,Outsystems Olímpico de Oeiras,00:09:21,00:01:26,00:28:46,00:00:23,00:16:47,00:56:43,00:01:29
4,7,Tiago Fonseca,ELITE,Outsystems Olímpico de Oeiras,00:09:39,00:01:28,00:30:13,00:00:23,00:15:15,00:56:58,00:01:44
5,48,Rodrigo Rodrigues,JUN,Outsystems Olímpico de Oeiras,00:09:46,00:01:30,00:30:07,00:00:19,00:15:18,00:57:00,00:01:46
6,6,João Mansos,ELITE,Sporting Clube de Portugal,00:09:36,00:01:39,00:30:04,00:00:21,00:15:26,00:57:06,00:01:52
7,44,Miguel Arraiolos,ELITE,Sport Lisboa e Benfica,00:10:33,00:01:34,00:29:20,00:00:23,00:15:18,00:57:08,00:01:54
8,3,Alexandre Montez,JUN,Outsystems Olímpico de Oeiras,00:09:33,00:01:21,00:30:26,00:00:18,00:15:34,00:57:12,00:01:58
9,33,João Bernardo Queirós,ELITE,Outsystems Olímpico de Oeiras,00:10:35,00:01:29,00:29:21,00:00:21,00:15:36,00:57:22,00:02:08
10,18,Alexandre Silva,JUN,Sport Lisboa e Benfica,00:09:37,00:01:44,00:29:57,00:00:23,00:15:45,00:57:26,00:02:12
11,10,Pedro Afonso Pinto Gaspar,ELITE,Alhandra Sporting Club,00:09:37,00:01:29,00:30:16,00:00:21,00:15:47,00:57:30,00:02:16
12,9,José Pedro Vieira,ELITE,Clube de Natação de Torres Novas,00:09:38,00:01:26,00:30:15,00:00:27,00:15:50,00:57:36,00:02:22
13,45,Miguel Fortunato,ELITE,Alhandra Sporting Club,00:10:19,00:01:32,00:29:30,00:00:24,00:15:51,00:57:36,00:02:22
14,37,João Nuno Batista,CAD,Clube de Natação de Torres Novas,00:09:30,00:01:30,00:30:26,00:00:25,00:15:47,00:57:38,00:02:24
15,32,Hugo Figueiredo,ELITE,Sporting Clube de Portugal,00:10:31,00:01:35,00:29:22,00:00:23,00:15:52,00:57:43,00:02:29
16,8,João Francisco Ferreira,ELITE,CNATRIL Triatlo,00:10:08,00:01:27,00:29:45,00:00:22,00:16:17,00:57:59,00:02:45
17,5,Rafael Domingos,ELITE,Estoril Praia Credibom,00:10:33,00:01:21,00:29:29,00:00:24,00:16:17,00:58:04,00:02:50
18,36,João Chagas,ELITE,Outsystems Olímpico de Oeiras,00:09:40,00:01:31,00:30:11,00:00:20,00:16:25,00:58:07,00:02:53
19,38,João Nuno Marote,JUN,ADRAP Madeira,00:10:22,00:01:30,00:29:31,00:00:21,00:16:25,00:58:09,00:02:55
