rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,total,gap
1,2823,Maria Tomé,20-24,Clube de Natação de Torres Novas,00:09:23,00:00:41,00:32:17,00:00:04,00:18:17,01:00:42,00:00:00
2,2514,Inês Oliveira,25-29,Sporting Clube de Portugal,00:09:57,00:00:42,00:32:54,00:00:04,00:18:29,01:02:06,00:01:24
3,3560,Joana Miranda,20-24,Clube de Natação de Torres Novas,00:09:26,00:00:46,00:32:08,00:00:07,00:20:01,01:02:28,00:01:46
4,2502,Madalena Almeida,20-24,Sport Lisboa e Benfica,00:09:56,00:00:37,00:33:03,00:00:08,00:19:15,01:02:59,00:02:17
5,3162,Inês Rico,20-24,Alhandra Sporting Club,00:09:59,00:00:39,00:32:53,00:00:08,00:19:28,01:03:07,00:02:25
6,2266,Matilde Santos,JUN,Outsystems Olímpico de Oeiras,00:09:52,00:00:37,00:33:04,00:00:03,00:19:38,01:03:14,00:02:32
7,1516,Cassilda Carvalho,CAD,Sport Lisboa e Benfica,00:09:23,00:00:39,00:32:20,00:00:03,00:20:57,01:03:22,00:02:40
8,5970,Rina Zijgers,40-44,Individual,00:10:14,00:00:41,00:33:19,00:00:06,00:19:05,01:03:25,00:02:43
9,2564,Ana Ramos,25-29,Clube de Natação de Torres Novas,00:09:57,00:00:41,00:32:57,00:00:16,00:19:54,01:03:45,00:03:03
10,2816,Joana Oliveira,20-24,Clube de Natação de Torres Novas,00:10:06,00:00:57,00:33:15,00:00:06,00:19:34,01:03:58,00:03:16
11,2800,Mariana Vargem,20-24,CNF,00:09:58,00:01:04,00:33:11,00:00:02,00:19:49,01:04:04,00:03:22
12,1931,Ana Carapeta,CAD,Alhandra Sporting Club,00:09:52,00:00:48,00:33:39,00:00:02,00:19:50,01:04:11,00:03:29
13,3141,Beatriz Nunes Santos,20-24,Outsystems Olímpico de Oeiras,00:09:28,00:00:39,00:32:11,00:00:05,00:22:03,01:04:26,00:03:44
14,2236,Beatriz Pinto,JUN,Sport Lisboa e Benfica,00:10:01,00:00:44,00:33:29,00:00:10,00:21:30,01:05:54,00:05:12
15,2862,Beatriz Ferreira,20-24,Clube de Natação de Torres Novas,00:11:19,00:00:49,00:33:50,00:00:06,00:19:53,01:05:57,00:05:15
16,2930,Carolina Boulhosa,20-24,Clube de Triatlo do Fundão,00:10:28,00:00:40,00:34:46,00:00:07,00:20:20,01:06:21,00:05:39
17,1912,Inês Filipa Sousa,CAD,Alhandra Sporting Club,00:10:10,00:00:44,00:33:25,00:00:03,00:22:32,01:06:54,00:06:12
18,1929,Matilde Tomás,CAD,Alhandra Sporting Club,00:10:03,00:00:52,00:33:25,00:00:02,00:22:49,01:07:11,00:06:29
19,1994,Mónica Dias,CAD,Individual,00:10:29,00:00:43,00:34:44,00:00:06,00:22:03,01:08:05,00:07:23
20,2286,Luana Quaresma,JUN,Alhandra Sporting Club,00:10:12,00:00:48,00:34:55,00:00:02,00:22:16,01:08:13,00:07:31
21,3748,Tuxa Negri,30-34,CNATRIL Triatlo,00:11:21,00:00:47,00:35:06,00:00:08,00:20:53,01:08:15,00:07:33
22,1867,Beatriz Boal,CAD,Alhandra Sporting Club,00:10:49,00:00:46,00:34:24,00:00:06,00:22:15,01:08:20,00:07:38
23,2633,Pauline Vie,20-24,Alhandra Sporting Club,00:12:02,00:00:48,00:34:23,00:00:07,00:21:10,01:08:30,00:07:48
24,1935,Tatiana Marques,CAD,Alhandra Sporting Club,00:10:18,00:01:00,00:34:39,00:00:07,00:22:26,01:08:30,00:07:48
25,2254,Catarina Moutinho,JUN,Clube de Natação de Torres Novas,00:11:20,00:00:47,00:33:49,00:00:14,00:23:51,01:10:01,00:09:19
26,1854,Luisa Miranda,CAD,Sport Lisboa e Benfica,00:11:35,00:00:48,00:34:47,00:00:10,00:23:22,01:10:42,00:10:00
27,1928,Sofia Santos Rocha,CAD,Sporting Clube de Portugal,00:10:57,00:00:44,00:34:22,00:00:06,00:24:36,01:10:45,00:10:03
28,2255,Filipa Gomes,JUN,Outsystems Olímpico de Oeiras,00:11:24,00:00:48,00:36:46,00:00:08,00:22:38,01:11:44,00:11:02
29,3538,Susana Mateus,30-34,REPSOL TRIATLO,00:11:00,00:01:13,00:36:56,00:00:22,00:22:16,01:11:47,00:11:05
30,1542,Sofia Corrêa,CAD,Alhandra Sporting Club,00:11:02,00:00:52,00:35:21,00:00:08,00:24:32,01:11:55,00:11:13
31,4899,Jana Advani,40-44,Louletano,00:11:21,00:01:02,00:36:43,00:00:24,00:22:41,01:12:11,00:11:29
32,1934,Mariana Prudêncio,CAD,Outsystems Olímpico de Oeiras,00:10:18,00:00:57,00:37:46,00:00:06,00:23:11,01:12:18,00:11:36
33,1859,Marta Atalaya Rebelo,CAD,Outsystems Olímpico de Oeiras,00:10:25,00:00:46,00:37:53,00:00:19,00:23:15,01:12:38,00:11:56
34,2257,Daniela Pinto,JUN,Outsystems Olímpico de Oeiras,00:11:23,00:00:42,00:36:57,00:00:13,00:23:38,01:12:53,00:12:11
35,1530,Natacha Santos,CAD,Lusitano / Frusoal,00:11:00,00:00:50,00:37:17,00:00:06,00:23:55,01:13:08,00:12:26
36,3209,Sara Neto,30-34,Clube de Futebol Os Belenenses,00:14:40,00:01:02,00:36:24,00:00:22,00:21:06,01:13:34,00:12:52
37,3010,Francisca Parente,25-29,Outsystems Olímpico de Oeiras,00:13:13,00:01:13,00:37:36,00:00:25,00:21:13,01:13:40,00:12:58
38,4566,Amelia Drumm,45-49,Louletano,00:15:27,00:01:01,00:35:35,00:00:32,00:21:26,01:14:01,00:13:19
39,5787,Isa Parreira,40-44,Fc Ferreiras,00:13:19,00:00:58,00:37:55,00:00:16,00:21:44,01:14:12,00:13:30
40,2927,Filipa Vieira,35-39,Louletano,00:15:02,00:01:17,00:35:52,00:00:22,00:22:14,01:14:47,00:14:05
41,4325,Simone Siebra,45-49,Estoril Praia Credibom,00:14:08,00:02:02,00:36:00,00:00:16,00:22:56,01:15:22,00:14:40
42,4110,Filipa Oliveira,50-54,Clube de Futebol Os Belenenses,00:13:13,00:00:54,00:37:51,00:00:29,00:23:13,01:15:40,00:14:58
